cohort_date_proxy,acquisition_timestamp_basis,timezone_status,line_id,line_name,source,funnel_id,funnel_name,channel_id,channel_name,video_id,video_title,acquired_observed,seminar_applied_observed,seminar_applied_timestamped,meeting_applied_observed,meeting_applied_timestamped,observed_event_flags,timestamped_event_flags,event_timestamp_coverage_rate,event_timestamp_completeness,cohort_age_days,d7_denominator_eligible_proxy,d7_outcome_exact,snapshot_at,quality
2026-06-29,proxy_reader_created_at,unverified,line-yukkuri-legacy,ゆっくりAI起業,YouTube,youtube-yukkuri-legacy,YouTube｜ゆっくりAI｜旧ルート,yukkuri,ゆっくりAI副業,,,1,0,0,0,0,0,0,,unknown,52,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-06,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,MZOtIDFBYQY,【最新版！】Claude Code完全入門マニュアル,1,0,0,0,0,1,0,0,partial,45,1,0,2026-08-19T16:03:57.733Z,labels_unavailable
2026-07-08,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,9z3P90deMBI,【最新版】初心者でもわかるCodexの使い方徹底解説,1,0,0,0,0,0,0,,unknown,43,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-11,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,9z3P90deMBI,【最新版】初心者でもわかるCodexの使い方徹底解説,1,0,0,0,0,0,0,,unknown,40,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-17,proxy_reader_created_at,unverified,line-instagram,こすもす【公式】,Instagram,instagram-10-benefits,Instagram｜10大特典,,,,,1,0,0,0,0,0,0,,unknown,34,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-18,proxy_reader_created_at,unverified,line-yukkuri-legacy,ゆっくりAI起業,YouTube,youtube-yukkuri-legacy,YouTube｜ゆっくりAI｜旧ルート,yukkuri,ゆっくりAI副業,,,2,0,0,0,0,2,0,0,partial,33,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-19,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,9z3P90deMBI,【最新版】初心者でもわかるCodexの使い方徹底解説,1,0,0,0,0,1,0,0,partial,32,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-19,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,ZcwZhJRDZcA,【最新版】CodexをAPIコスト7割削減しながら限界まで働かせる方法,1,0,0,0,0,1,0,0,partial,32,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-19,proxy_reader_created_at,unverified,line-yukkuri-legacy,ゆっくりAI起業,YouTube,youtube-yukkuri-legacy,YouTube｜ゆっくりAI｜旧ルート,yukkuri,ゆっくりAI副業,,,2,0,0,0,0,1,0,0,partial,32,1,0,2026-08-19T16:03:57.733Z,ok
2026-07-20,proxy_reader_created_at,unverified,line-instagram,こすもす【公式】,Instagram,instagram-10-benefits,Instagram｜10大特典,,,,,1,0,0,0,0,0,0,,unknown,31,1,0,2026-08-19T16:03:57.733Z,ok
