registration_date,line_id,line_name,source,funnel_id,funnel_name,channel_id,channel_name,video_id,video_title,registered,zoom_applied,seminar_applied,vsl_offered,vsl_started,vsl_completed,meeting_applied,meeting_from_vsl,meeting_from_seminar,openchat_offered,openchat_clicked,snapshot_at,quality
2026-07-17,line-instagram,こすもす【公式】,Instagram,instagram-10-benefits,Instagram｜10大特典,,,,,1,0,0,0,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,ok
2026-07-20,line-instagram,こすもす【公式】,Instagram,instagram-10-benefits,Instagram｜10大特典,,,,,1,0,0,0,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,ok
2026-07-22,line-instagram,こすもす【公式】,Instagram,instagram-10-benefits,Instagram｜10大特典,,,,,1,0,0,0,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,labels_unavailable
2026-07-25,line-meta,AIでひとり起業（広告）,Meta広告,meta-vsl-direct,Meta広告｜VSL直行,,,,,1,0,0,1,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,ok
2026-07-25,line-instagram,こすもす【公式】,Instagram,instagram-10-benefits,Instagram｜10大特典,,,,,1,0,0,0,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,labels_unavailable
2026-07-26,line-instagram,こすもす【公式】,Instagram,instagram-10-benefits,Instagram｜10大特典,,,,,1,0,0,0,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,ok
2026-07-26,line-instagram,こすもす【公式】,Instagram,instagram-10-benefits,Instagram｜10大特典,,,,,1,0,0,0,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,labels_unavailable
2026-07-27,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,,,,,1,0,0,0,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,ok
2026-07-28,line-meta,AIでひとり起業（広告）,Meta広告,meta-vsl-direct,Meta広告｜VSL直行,,,,,3,0,0,3,1,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,ok
2026-07-28,line-instagram,こすもす【公式】,Instagram,instagram-10-benefits,Instagram｜10大特典,,,,,1,0,0,0,0,0,0,0,0,0,0,2026-08-10T20:13:55.314Z,ok
